Unnamed: 0,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
0,856,854,3,3,706,2,150,65,548,2,2003,1710,2,8450,65,196,61,5,7,856,0,2003,2003,208500
1,1262,0,3,1,978,0,284,80,460,2,1976,1262,3,9600,80,0,0,8,6,1262,0,1976,1976,181500
2,920,866,3,2,486,2,434,68,608,2,2001,1786,2,11250,68,162,42,5,7,920,0,2001,2002,223500
3,961,0,2,3,216,0,540,60,642,3,1998,1717,2,9550,60,0,35,5,7,756,0,1915,1970,140000
4,1145,0,4,0,655,2,490,84,836,2,2000,2198,2,14260,84,350,84,5,8,1145,0,2000,2000,250000
5,796,566,1,3,732,2,64,85,480,3,1993,1362,3,14115,85,0,30,5,5,796,0,1993,1995,143000
6,1694,0,3,0,1369,2,317,75,636,2,2004,1694,2,10084,75,186,57,5,8,1686,0,2004,2005,307000
7,1107,983,3,2,746,0,361,70,484,3,1973,2090,3,10382,70,240,204,6,7,1107,0,1973,1973,200000
8,1022,752,2,3,0,6,952,51,468,3,1931,1774,3,6120,51,0,0,5,7,952,0,1931,1950,129900
9,1077,0,2,3,851,2,140,50,205,2,1939,1077,3,7420,50,0,4,6,5,991,0,1939,1950,118000
10,1040,0,3,3,906,5,134,70,384,3,1965,1040,3,11200,70,0,0,5,5,1040,0,1965,1965,129500
11,1182,1142,4,3,998,6,177,85,736,0,2005,2324,0,11924,85,286,21,5,9,1175,0,2005,2006,345000
12,912,0,2,3,737,0,175,70,352,3,1962,912,3,12968,70,0,0,6,5,912,0,1962,1962,144000
13,1494,0,3,0,0,6,1494,91,840,2,2006,1494,2,10652,91,306,33,5,7,1494,160,2006,2007,279500
14,1253,0,2,3,733,1,520,70,352,2,1960,1253,3,10920,70,212,213,5,6,1253,0,1960,1960,157000
15,854,0,2,3,0,6,832,51,576,3,1991,854,3,6120,51,0,112,8,7,832,0,1929,2001,132000
16,1004,0,2,3,578,0,426,70,480,0,1970,1004,3,11241,70,180,0,7,6,1004,0,1970,1970,149000
17,1296,0,2,4,0,4,0,72,516,3,1967,1296,3,10791,72,0,0,5,4,0,0,1967,1967,90000
18,1114,0,2,3,646,2,468,66,576,3,2004,1114,2,13695,66,0,102,5,5,1114,0,2004,2004,159000
19,1339,0,3,3,504,3,525,70,294,3,1958,1339,3,7560,70,0,0,6,5,1029,0,1958,1965,139000
20,1218,1158,4,0,0,6,1158,101,853,2,2005,2376,2,14215,101,380,154,5,8,1158,240,2005,2006,325300
21,1108,0,3,3,0,6,637,57,280,3,1930,1108,2,7449,57,0,0,7,7,637,0,1930,1950,139400
22,1795,0,3,3,0,6,1777,75,534,2,2002,1795,2,9742,75,281,159,5,8,1777,0,2002,2002,230000
23,1060,0,3,3,840,2,200,44,572,3,1976,1060,3,4224,44,0,110,7,5,1040,100,1976,1976,129900
24,1060,0,3,2,714,5,346,70,270,3,1968,1060,2,8246,70,0,90,8,5,1060,0,1968,2001,154000
25,1600,0,3,3,0,6,1566,110,890,2,2007,1600,2,14230,110,640,56,5,8,1566,0,2007,2007,256300
26,900,0,3,2,607,6,293,60,576,3,2005,900,2,7200,60,0,32,7,5,900,0,1951,2000,134800
27,1704,0,3,3,1218,2,486,98,772,3,2008,1704,2,11478,98,200,50,5,8,1704,0,2007,2008,306000
