Unnamed: 0,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
0,856,854,3,3,706,2,150,0.0,548,2,2003,1710,2,8450,65.0,196.0,61,5,7,856,0.0,2003,2003,208500
1,1262,0,3,1,978,0,284,,460,2,1976,1262,3,9600,80.0,0.0,0,8,6,1262,,1976,1976,181500
2,920,866,3,2,486,2,434,0.0,608,2,2001,1786,2,11250,68.0,162.0,42,5,7,920,,2001,2002,223500
3,961,0,2,3,216,0,540,,642,3,1998,1717,2,9550,60.0,0.0,35,5,7,756,,1915,1970,140000
4,1145,0,4,0,655,2,490,0.0,836,2,2000,2198,2,14260,84.0,350.0,84,5,8,1145,,2000,2000,250000
5,796,566,1,3,732,2,64,,480,3,1993,1362,3,14115,85.0,0.0,30,5,5,796,,1993,1995,143000
6,1694,0,3,0,1369,2,317,,636,2,2004,1694,2,10084,75.0,186.0,57,5,8,1686,,2004,2005,307000
7,1107,983,3,2,746,0,361,,484,3,1973,2090,3,10382,,240.0,204,6,7,1107,,1973,1973,200000
8,1022,752,2,3,0,6,952,,468,3,1931,1774,3,6120,51.0,0.0,0,5,7,952,,1931,1950,129900
9,1077,0,2,3,851,2,140,,205,2,1939,1077,3,7420,50.0,0.0,4,6,5,991,,1939,1950,118000
10,1040,0,3,3,906,5,134,,384,3,1965,1040,3,11200,70.0,0.0,0,5,5,1040,,1965,1965,129500
11,1182,1142,4,3,998,6,177,,736,0,2005,2324,0,11924,85.0,286.0,21,5,9,1175,,2005,2006,345000
12,912,0,2,3,737,0,175,,352,3,1962,912,3,12968,,0.0,0,6,5,912,,1962,1962,144000
13,1494,0,3,0,0,6,1494,,840,2,2006,1494,2,10652,91.0,306.0,33,5,7,1494,160.0,2006,2007,279500
14,1253,0,2,3,733,1,520,,352,2,1960,1253,3,10920,,212.0,213,5,6,1253,,1960,1960,157000
15,854,0,2,3,0,6,832,,576,3,1991,854,3,6120,51.0,0.0,112,8,7,832,,1929,2001,132000
16,1004,0,2,3,578,0,426,,480,0,1970,1004,3,11241,,180.0,0,7,6,1004,,1970,1970,149000
17,1296,0,2,4,0,4,0,,516,3,1967,1296,3,10791,72.0,0.0,0,5,4,0,,1967,1967,90000
18,1114,0,2,3,646,2,468,,576,3,2004,1114,2,13695,66.0,0.0,102,5,5,1114,,2004,2004,159000
19,1339,0,3,3,504,3,525,,294,3,1958,1339,3,7560,70.0,0.0,0,6,5,1029,,1958,1965,139000
20,1218,1158,4,0,0,6,1158,,853,2,2005,2376,2,14215,101.0,380.0,154,5,8,1158,240.0,2005,2006,325300
21,1108,0,3,3,0,6,637,,280,3,1930,1108,2,7449,57.0,0.0,0,7,7,637,,1930,1950,139400
22,1795,0,3,3,0,6,1777,,534,2,2002,1795,2,9742,75.0,281.0,159,5,8,1777,,2002,2002,230000
23,1060,0,3,3,840,2,200,,572,3,1976,1060,3,4224,44.0,0.0,110,7,5,1040,100.0,1976,1976,129900
24,1060,0,3,2,714,5,346,,270,3,1968,1060,2,8246,,0.0,90,8,5,1060,,1968,2001,154000
25,1600,0,3,3,0,6,1566,,890,2,2007,1600,2,14230,110.0,640.0,56,5,8,1566,,2007,2007,256300
26,900,0,3,2,607,6,293,,576,3,2005,900,2,7200,60.0,0.0,32,7,5,900,,1951,2000,134800
27,1704,0,3,3,1218,2,486,,772,3,2008,1704,2,11478,98.0,200.0,50,5,8,1704,,2007,2008,306000
28,1600,0,2,1,1277,1,207,0.0,319,2,1957,1600,3,16321,47.0,0.0,258,6,5,1484,,1957,1997,207500
29,520,0,1,3,0,6,520,,240,3,1927,520,1,6324,60.0,0.0,0,6,4,520,,1927,1950,68500
30,668,649,3,3,0,6,649,,250,3,1920,1317,3,8500,50.0,0.0,54,4,4,649,,1920,1950,40000
31,1228,0,3,3,0,6,1228,,271,3,1966,1228,2,8544,,0.0,65,6,5,1228,,1966,2006,149350
32,1234,0,3,0,0,6,1234,0.0,484,2,2007,1234,2,11049,85.0,0.0,30,5,8,1234,,2007,2007,179900
33,1700,0,4,3,1018,5,380,,447,2,1959,1700,2,10552,70.0,0.0,38,5,5,1398,,1959,1959,165500
34,1561,0,2,3,1153,2,408,,556,0,2005,1561,0,7313,60.0,246.0,47,5,9,1561,203.0,2005,2005,277500
35,1320,1132,4,0,0,6,1117,,691,3,2004,2452,2,13418,108.0,132.0,32,5,8,1117,,2004,2005,309000
36,1097,0,3,3,0,6,1097,,672,3,1995,1097,3,10859,112.0,0.0,64,5,5,1097,,1994,1995,145000
37,1297,0,2,3,1213,5,84,0.0,498,0,1954,1297,3,8532,74.0,650.0,0,6,5,1297,,1954,1990,153000
38,1057,0,3,3,731,2,326,,246,3,1953,1057,2,7922,68.0,0.0,52,7,5,1057,,1953,2007,109000
39,1152,0,2,4,0,4,0,,0,1,1955,1152,1,6040,65.0,0.0,0,5,4,0,,1955,1955,82000
40,1324,0,3,3,643,5,445,,440,3,1965,1324,3,8658,84.0,101.0,138,5,6,1088,0.0,1965,1965,160000
41,1328,0,2,1,967,1,383,,308,3,1959,1328,3,16905,115.0,0.0,104,6,5,1350,,1959,1959,170000
42,884,0,2,0,747,0,93,,504,2,1983,884,2,9180,,0.0,0,7,5,840,240.0,1983,1983,144000
43,938,0,3,0,632,3,306,,308,3,1977,938,3,9200,,0.0,0,6,5,938,145.0,1975,1980,130250
44,1150,0,3,3,775,0,375,,300,2,1959,1150,3,7945,70.0,0.0,0,6,5,1150,,1959,1959,141000
45,1752,0,2,3,456,2,1296,,576,2,2005,1752,0,7658,61.0,412.0,82,5,9,1752,,2005,2005,319900
46,1518,631,1,3,1351,2,83,,670,2,2003,2149,2,12822,48.0,0.0,43,5,7,1434,,2003,2003,239686
47,1656,0,3,0,24,2,1632,,826,3,2006,1656,2,11096,84.0,0.0,146,5,8,1656,,2006,2006,249700
48,736,716,2,3,0,6,736,,0,1,1920,1452,3,4456,33.0,0.0,0,5,4,736,,1920,2008,113000
49,955,0,3,3,763,1,192,,386,3,1966,955,3,7742,66.0,0.0,0,7,5,955,,1966,1966,127000
50,794,676,3,0,182,2,612,,388,0,1997,1470,3,13869,,0.0,75,6,6,794,,1997,1997,177000
51,816,0,3,3,0,6,816,,528,3,1985,1176,3,6240,52.0,0.0,0,6,6,816,,1934,1950,114500
52,816,0,2,1,104,3,712,,516,3,1963,816,3,8472,110.0,0.0,0,5,5,816,,1963,1963,110000
53,1842,0,2,1,1810,2,32,,894,0,1981,1842,2,50271,68.0,0.0,72,5,9,1842,,1981,1987,385000
54,1360,0,2,3,384,0,0,,572,3,1962,1360,3,7134,60.0,0.0,50,5,5,384,,1955,1955,130000
55,1425,0,3,3,490,6,935,,576,2,1964,1425,3,10175,100.0,272.0,0,5,6,1425,,1964,1964,180500
56,983,756,3,3,649,2,321,,480,0,1999,1739,2,2645,24.0,456.0,0,5,8,970,,1999,2000,172500
57,860,0,3,3,0,6,860,,565,2,2004,1720,2,11645,89.0,0.0,70,5,7,860,,2004,2004,196500
58,1519,1426,3,1,0,6,1410,,641,0,2006,2945,2,13682,66.0,1031.0,0,5,10,1410,,2006,2006,438780
59,780,0,2,0,632,0,148,,352,3,1973,780,3,7200,60.0,0.0,0,7,5,780,196.0,1972,1972,124900
60,1158,0,3,3,941,0,217,,576,3,2006,1158,2,13072,63.0,0.0,50,5,6,1158,,2004,2004,158000
61,581,530,3,3,0,6,530,,288,3,1935,1111,1,7200,60.0,0.0,0,7,5,530,,1920,1996,101000
62,1370,0,2,2,24,2,1346,,484,2,2006,1370,2,6442,44.0,178.0,49,5,8,1370,,2006,2006,202500
63,902,808,3,3,0,6,576,,480,3,1990,1710,3,10300,50.0,0.0,11,6,7,576,,1921,1950,140000
64,1057,977,3,3,739,2,318,0.0,645,2,1998,2034,2,9375,,573.0,36,5,7,1057,,1997,1998,219500
65,1330,1143,4,0,0,6,1143,,852,3,2004,2473,2,9591,76.0,344.0,151,5,8,1143,,2004,2005,317000
66,2207,0,3,1,912,2,1035,,576,2,1970,2207,3,19900,,287.0,0,5,7,1947,,1970,1989,180000
67,1479,0,3,0,1013,2,440,,558,2,2003,1479,2,10665,72.0,167.0,29,5,7,1453,,2003,2003,226000
68,747,0,2,3,0,6,747,,220,3,1945,747,3,4608,47.0,0.0,0,6,4,747,,1945,1950,80000
69,1304,983,3,3,603,1,701,,667,0,1953,2287,3,15593,81.0,0.0,21,4,7,1304,,1953,1953,225000
70,2223,0,3,1,1880,0,343,,516,0,1973,2223,3,13651,95.0,1115.0,0,6,7,2223,300.0,1973,1973,244000
71,845,0,2,3,565,0,280,0.0,360,3,1987,845,3,7599,69.0,0.0,0,6,4,845,,1982,2006,129500
72,885,833,3,3,0,6,832,,427,0,1998,1718,3,10141,74.0,40.0,94,5,7,832,,1998,1998,185000
73,1086,0,3,3,732,0,354,0.0,490,3,1989,1086,3,10200,85.0,104.0,0,7,5,1086,,1954,2003,144900
74,840,765,3,3,0,6,840,,379,3,1915,1605,3,5790,60.0,0.0,0,6,3,840,0.0,1915,1950,107400
75,526,462,2,1,462,2,0,,297,3,1973,988,3,1596,21.0,0.0,101,5,4,462,,1973,1973,91000
76,952,0,2,3,228,0,724,,283,3,1956,952,3,8475,,0.0,0,7,4,952,,1956,1956,135750
77,1072,213,2,3,453,1,219,,240,3,1948,1285,3,8635,50.0,0.0,0,5,5,672,,1948,2001,127000
78,1768,0,4,3,0,6,1768,,0,1,1968,1768,3,10778,72.0,0.0,0,5,4,1768,,1968,1968,136500
79,682,548,2,3,0,6,440,,440,3,1966,1230,3,10440,60.0,0.0,0,6,5,440,,1910,1981,110000
80,1182,960,3,3,448,5,448,,509,0,1968,2142,2,13000,100.0,576.0,72,6,6,896,,1968,1968,193500
81,1337,0,2,3,1201,2,36,,405,0,1998,1337,3,4500,32.0,443.0,199,5,6,1237,,1998,1998,153500
82,1563,0,3,3,33,2,1530,,758,2,2007,1563,2,10206,78.0,468.0,99,5,8,1563,,2007,2007,245000
83,1065,0,3,3,0,6,1065,,461,3,1974,1065,3,8892,80.0,66.0,0,5,5,1065,,1960,1960,126500
84,804,670,3,3,0,6,384,,400,0,1995,1474,3,8530,,22.0,72,5,7,384,120.0,1995,1996,168500
85,1301,1116,4,3,0,6,1288,,462,3,1991,2417,2,16059,121.0,284.0,82,5,8,1288,127.0,1991,1992,260000
86,876,684,3,0,0,6,684,,400,0,2005,1560,2,11911,122.0,0.0,38,5,6,684,,2005,2005,174000
87,612,612,3,0,0,6,612,,528,2,2009,1224,2,3951,40.0,76.0,234,5,6,612,,2009,2009,164500
88,1013,0,2,3,0,6,1013,,0,1,1915,1526,1,8470,105.0,0.0,0,2,3,1013,,1915,1982,85000
89,990,0,3,3,588,6,402,,0,1,1994,990,3,8070,60.0,0.0,0,5,4,990,,1994,1995,123600
90,1040,0,2,4,0,4,0,,420,3,1950,1040,3,7200,60.0,0.0,29,5,4,0,,1950,1950,109900
91,1235,0,2,3,600,5,635,0.0,480,3,1961,1235,3,8500,85.0,203.0,0,3,5,1235,,1961,1961,98600
92,964,0,2,3,713,0,163,,432,3,1921,964,3,13360,80.0,0.0,0,7,5,876,,1921,2006,163500
93,1260,1031,4,2,1046,5,168,,506,3,1910,2291,3,7200,60.0,0.0,0,6,6,1214,,1910,1998,133900
94,905,881,3,3,648,2,176,,684,2,1997,1786,2,9337,69.0,0.0,162,5,6,824,,1997,1997,204750
95,790,680,3,3,310,6,370,,420,0,1993,1470,3,9765,,68.0,63,8,6,680,,1993,1993,185000
96,1588,0,2,0,1162,0,426,,472,2,1999,1588,2,10264,78.0,183.0,29,5,7,1588,,1999,1999,214000
97,960,0,3,3,520,5,440,,432,0,1965,960,3,10921,73.0,48.0,0,5,4,960,,1965,1965,94750
98,835,0,2,3,108,0,350,,366,3,1920,835,3,10625,85.0,0.0,0,5,5,458,0.0,1920,1950,83000
99,1225,0,3,3,569,0,381,,0,1,1959,1225,3,9320,77.0,0.0,0,5,4,950,,1959,1959,128950
100,1610,0,3,2,1200,0,410,,480,2,1977,1610,2,10603,,28.0,68,7,6,1610,,1977,2001,205000
101,977,755,3,3,0,6,741,,476,0,1985,1732,2,9206,77.0,336.0,46,5,6,741,,1985,1985,178000
102,1535,0,4,4,0,4,0,,410,3,1979,1535,3,7018,64.0,0.0,0,5,5,0,,1979,1979,118964
103,1226,0,2,3,0,6,1226,,740,2,2009,1226,2,10402,94.0,0.0,36,5,7,1226,,2009,2009,198900
104,1226,592,4,3,224,3,816,,240,3,1951,1818,3,7758,,600.0,0,4,7,1040,,1931,1950,169500
105,1053,0,3,3,0,6,1053,,648,2,2003,1992,2,9375,75.0,768.0,45,5,8,1053,,2003,2004,250000
106,1047,0,2,3,0,6,641,,273,3,1954,1047,3,10800,60.0,0.0,0,7,4,641,,1885,1995,100000
107,789,0,2,3,532,0,257,,250,3,1948,789,3,6000,50.0,0.0,0,5,5,789,,1948,1950,115000
108,997,0,3,3,0,6,793,,0,1,1919,1517,1,8500,85.0,0.0,0,7,5,793,,1919,2005,115000
109,1844,0,3,3,705,1,1139,,546,2,1977,1844,3,11751,105.0,480.0,122,6,6,1844,,1977,1977,190000
110,1216,639,4,3,444,5,550,,325,3,1954,1855,3,9525,75.0,0.0,0,4,6,994,,1954,1972,136900
111,774,656,3,3,250,2,134,,400,0,2000,1430,3,7750,,0.0,0,5,7,384,,2000,2000,180000
112,1414,1282,4,0,984,2,280,,792,3,2007,2696,0,9965,77.0,220.0,184,5,7,1264,,2007,2007,383970
113,2259,0,3,2,1219,6,590,,450,3,1953,2259,2,21000,,184.0,120,5,6,1809,,1953,1953,217000
114,1436,884,3,3,693,0,335,,180,3,1945,2320,2,7259,61.0,0.0,0,8,6,1028,,1945,2002,259500
115,729,729,2,3,419,2,310,,440,3,1999,1458,3,3230,34.0,1129.0,32,5,6,729,,1999,1999,176000
116,1092,0,3,3,736,3,356,,288,3,1962,1092,3,11616,,116.0,20,5,5,1092,,1962,1962,139000
117,1125,0,2,3,0,6,1125,,430,3,2007,1125,3,8536,74.0,0.0,64,5,5,1125,,2006,2007,155000
118,1699,1523,5,2,1470,2,203,,594,3,1990,3222,2,12376,90.0,0.0,0,5,7,1673,,1990,1990,320000
119,728,728,3,3,0,6,728,,390,0,2005,1456,2,8461,65.0,0.0,24,5,6,728,,2005,2006,163990
120,988,0,1,1,938,0,0,,540,3,1969,988,3,21453,,0.0,130,5,6,938,0.0,1969,1969,180000
121,772,351,3,3,0,6,732,,264,3,1979,1123,3,6060,50.0,0.0,0,5,4,732,,1939,1950,100000
122,1080,0,3,3,570,1,510,,288,3,1958,1080,3,9464,75.0,135.0,0,7,6,1080,,1958,1958,136000
123,1199,0,2,3,300,2,899,,530,2,1993,1199,2,7892,55.0,0.0,63,5,6,1199,,1993,1993,153900
124,1586,0,3,3,0,6,1362,,435,3,1979,1586,3,17043,48.0,0.0,0,5,6,1362,192.0,1979,1998,181000
125,520,0,2,0,490,2,30,,0,1,1935,754,3,6780,60.0,0.0,0,8,6,520,,1935,1982,84500
126,958,0,2,3,120,0,958,,440,2,1977,958,3,4928,,0.0,205,5,6,1078,0.0,1976,1976,128000
127,840,0,3,3,116,3,556,,0,1,1930,840,3,4388,55.0,0.0,0,7,5,672,,1930,1950,87000
128,688,660,3,3,512,1,148,,453,2,1966,1348,3,7590,69.0,266.0,108,5,6,660,,1966,1966,155000
129,1053,0,3,3,679,5,329,,750,2,1998,1053,0,8973,69.0,85.0,80,7,5,1008,,1958,1991,150000
130,1216,941,4,3,445,5,479,,487,3,1966,2157,2,14200,88.0,309.0,66,6,7,924,,1966,1966,226000
131,1032,1022,3,3,695,2,297,,390,2,2000,2054,2,12224,,40.0,48,5,6,992,,2000,2000,244000
132,1327,0,2,3,405,5,658,,624,3,1974,1327,2,7388,75.0,0.0,0,6,5,1063,,1959,2002,150750
133,1296,0,2,3,1005,2,262,,471,0,2001,1296,2,6853,,136.0,25,5,8,1267,,2001,2002,220000
