Unnamed: 0,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd
809,1075,1063,2,3,0,6,849,90,360,3,1910,2138,3,8100,90,0,156,5,5,849,0,1898,1965
608,1940,1254,4,2,428,1,537,78,380,3,1934,3194,3,12168,78,0,0,6,8,965,0,1934,1998
1189,1028,776,3,3,0,6,994,60,442,0,1999,1804,2,7500,60,0,60,5,7,994,0,1999,1999
1039,630,0,1,0,509,2,121,21,286,3,1970,630,3,1477,21,0,0,4,4,630,0,1970,1970
1297,1072,0,2,1,547,2,0,35,525,0,2005,1072,3,3675,35,82,44,5,6,547,0,2005,2006
1357,1078,0,3,3,734,2,344,70,500,0,1971,1078,3,12537,70,0,0,6,5,1078,0,1971,2008
581,2042,0,3,3,0,6,2042,98,1390,2,2009,2042,0,12704,98,306,90,5,8,2042,0,2008,2009
541,1288,997,4,3,0,6,969,70,648,0,2000,2285,2,11000,70,72,56,5,8,969,0,2000,2000
183,1362,720,3,3,0,6,1362,63,484,3,2003,2082,2,11426,63,0,238,5,7,1362,0,2003,2003
831,600,520,2,3,0,6,600,30,480,2,2005,1200,2,3180,30,0,166,5,7,600,0,2005,2005
686,887,874,3,3,0,6,874,84,578,0,2007,1761,2,10207,84,0,105,6,7,874,0,2007,2007
44,1150,0,3,3,775,0,375,70,300,2,1959,1150,3,7945,70,0,0,6,5,1150,0,1959,1959
512,864,0,3,3,582,1,282,70,624,3,1964,864,3,9100,70,0,0,5,5,864,0,1958,1958
134,1721,0,3,3,570,5,891,78,440,2,1968,1721,3,10335,78,0,96,6,5,1461,0,1968,1993
228,912,0,3,3,842,0,70,70,336,3,1974,912,3,8521,70,0,0,5,5,912,0,1967,1967
517,1277,1067,3,3,0,6,1264,79,889,2,1996,2344,2,10208,79,921,0,5,7,1264,0,1996,1997
840,810,672,3,3,156,1,516,70,400,3,1934,1482,1,12155,70,0,0,8,6,672,0,1925,1950
217,810,518,3,3,0,6,686,57,210,3,1940,1328,3,9906,57,0,172,4,4,686,0,1925,1950
717,1178,0,3,3,1084,1,92,80,439,3,1973,1178,2,10000,80,0,0,6,5,1176,0,1973,2000
619,1482,780,3,1,871,2,611,85,749,0,2003,2262,2,12244,85,226,0,5,8,1482,0,2003,2003
60,1158,0,3,3,941,0,217,63,576,3,2006,1158,2,13072,63,0,50,5,6,1158,0,2004,2004
889,1505,0,2,3,1024,6,481,128,505,2,1953,1505,3,12160,128,90,0,4,6,1505,0,1953,1953
551,928,0,3,3,308,5,620,50,288,0,1957,928,3,6000,50,0,0,6,5,928,0,1957,1957
1239,1484,0,2,0,428,2,1048,64,472,2,2006,1484,0,9037,64,32,33,5,8,1476,0,2006,2006
521,1244,0,3,3,777,5,467,90,336,3,1957,1244,3,11988,90,0,40,6,6,1244,0,1957,1957
693,1073,0,2,3,0,6,1073,60,326,3,1968,1073,3,5400,60,0,0,6,5,1073,0,1921,1968
1000,944,0,2,4,0,4,0,74,528,3,1956,944,1,10206,74,0,0,3,3,0,0,1952,1952
1353,2053,1185,4,0,816,6,1217,56,666,0,1996,3238,2,14720,56,579,86,5,8,2033,0,1995,1996
780,1253,0,3,3,0,6,1237,63,402,0,1995,1253,3,7875,63,38,21,5,7,1237,0,1995,1996
603,600,600,2,3,0,6,600,30,480,2,2004,1200,2,3182,30,0,172,5,7,600,0,2004,2005
1263,1060,764,3,3,0,6,764,60,520,3,1940,1824,3,13515,60,0,0,6,6,764,0,1919,1950
459,979,224,3,3,185,3,524,70,352,3,1950,1203,2,7015,70,161,0,4,5,709,0,1950,1950
97,960,0,3,3,520,5,440,73,432,0,1965,960,3,10921,73,48,0,5,4,960,0,1965,1965
192,1431,0,3,0,560,2,871,68,666,0,1999,1431,2,9017,68,0,35,5,7,1431,0,1999,1999
900,858,0,2,3,322,0,536,70,684,3,1979,858,3,7340,70,0,0,6,4,858,0,1971,1971
1436,864,0,3,3,616,0,248,60,528,3,1974,864,3,9000,60,0,0,6,4,864,0,1971,1971
35,1320,1132,4,0,0,6,1117,108,691,3,2004,2452,2,13418,108,132,32,5,8,1117,0,2004,2005
1367,925,550,4,3,510,0,247,41,336,2,1977,1475,3,2665,41,0,26,6,5,757,0,1977,1977
415,1340,0,3,0,24,2,1316,73,396,0,2007,1340,2,8899,73,0,30,5,7,1340,0,2007,2007
308,861,0,1,3,262,1,599,70,539,3,1961,861,3,12342,70,0,0,5,4,861,0,1940,1950
1116,779,640,3,3,353,2,55,70,527,0,2002,1419,2,7750,70,0,0,5,8,408,0,2002,2002
768,1836,0,3,3,24,2,1836,70,484,0,2004,1836,2,9100,70,0,33,5,7,1860,0,2004,2005
440,2402,0,2,1,2084,2,1010,105,672,0,2008,2402,0,15431,105,200,72,5,10,3094,0,2008,2008
728,1776,0,4,3,0,6,1584,85,888,3,1968,1776,3,11475,85,95,25,5,5,1584,0,1958,1958
108,997,0,3,3,0,6,793,85,0,1,1919,1517,1,8500,85,0,0,7,5,793,0,1919,2005
